Atributo_pavadinimas,Kiekis,Trukstamos_reiksmes,Kardinalumas,Minimali_reiksme,Maksimali_reiksme,Pirmas_kvantilis,Trecias_kvantilis,Vidurkis,Mediana,Standartinis_nuokrypis
danceability,6398,0.0,882,0.0622,0.981,0.447,0.71,0.5681627852453899,0.588,0.19110250141747842
energy,6398,0.0,1066,0.000251,0.999,0.533,0.857,0.6677564696780225,0.7124999999999999,0.24072145586834762
key,5683,11.175367302281956,12,0,11,3,9.0,5.948266760513813,6,3.269023882859734
loudness,6398,0.0,4704,-46.655,-0.149,-8.427,-4.601,-7.589796342607046,-6.096500000000001,5.2345922668376605
mode,4130,35.44857768052516,2,0,1,1,1,1.0,1.0,0.0
speechiness,6398,0.0,1114,0.0225,0.956,0.0388,0.112,0.09801831822444497,0.0572,0.0972243126052365
acousticness,6393,0.07814942169429173,2668,0.0,0.996,0.008585,0.312,0.21709808274831957,0.0671,0.2968890187063484
instrumentalness,3992,37.60550171928728,2302,0.0,0.995,4.195e-05,0.6645000000000001,0.26491551500000005,0.00578,0.3693780228664321
liveness,6398,0.0,1206,0.0167,0.982,0.0968,0.249,0.19669964051266073,0.126,0.16614848992659767
valence,6397,0.01562988433884982,1219,0.0,0.976,0.24,0.628,0.4438036110676893,0.434,0.24573230131531829
tempo,6398,0.0,5531,39.369,210.977,98.089,141.092,122.35387105345428,121.07,29.84738882971087
duration_ms,6398,0.0,5591,29853.0,1734201.0,193200.0,259333.0,236704.2103782432,221246.5,85636.98434334341
time_signature,6397,0.01562988433884982,5,0.0,5.0,4.0,4.0,3.9315304048772863,4.0,0.374284875213617
chorus_hit,6391,0.10940919037199137,6241,0.0,213.15499,28.07719,48.302405,41.073336714129276,36.28308,19.53234347291688
sections,6398,0.0,40,2,88,8,12,10.316505157861831,10.0,3.776010871062065
target,3199,50.0,2,0,1,1,1.0,1.0,1,0.0
